,,23110000100030200004 Численность постоянного населения - женщин по возрасту на 1 января,23110000100030200004 Численность постоянного населения - женщин по возрасту на 1 января,23110000100030200004 Численность постоянного населения - женщин по возрасту на 1 января,23110000100030200004 Численность постоянного населения - женщин по возрасту на 1 января,23110000100030200004 Численность постоянного населения - женщин по возрасту на 1 января,23110000100030200004 Численность постоянного населения - женщин по возрасту на 1 января,23110000100030200004 Численность постоянного населения - женщин по возрасту на 1 января,23110000100030200004 Численность постоянного населения - женщин по возрасту на 1 января,23110000100030200004 Численность постоянного населения - женщин по возрасту на 1 января,23110000100030200004 Численность постоянного населения - женщин по возрасту на 1 января,23110000100030200004 Численность постоянного населения - женщин по возрасту на 1 января,23110000100030200004 Численность постоянного населения - женщин по возрасту на 1 января,23110000100030200004 Численность постоянного населения - женщин по возрасту на 1 января,23110000100030200004 Численность постоянного населения - женщин по возрасту на 1 января,23110000100030200004 Численность постоянного населения - женщин по возрасту на 1 января,23110000100030200004 Численность постоянного населения - женщин по возрасту на 1 января,23110000100030200004 Численность постоянного населения - женщин по возрасту на 1 января,23110000100030200004 Численность постоянного населения - женщин по возрасту на 1 января
,,134 0-4 года,135 5-9 лет,136 10-14 лет,138 15-19 лет,140 50-54 лет,141 55-59 лет,142 60-64 лет,143 65-69 лет,144 70-74 лет,145 75-79 лет,146 80-84 года,147 85-89 лет,148 90-94 года,149 95-99 лет,187 30-34 лет,188 35-39 лет,189 40-44 лет,190 45-49 лет
все население,w2:p_mest:11,,,,,,,,,,,,,,,,,,
Российская Федерация,643,,,,,,,,,,,,,,,,,,
январь 2014 г.,,4329960,3740558,3325774,3395521,6029925,5984398,5262237,3233165,3121214,3160390,1894129,1125724,262483,"45730,99",5840550,5428678,5016931,"4822504,99"
январь 2015 г.,,4504022,3906027,3474984,3332110,5899850,6099119,5445508,"3948971,99",2611754,3513180,"1820225,99",1176281,309983,45012,6049183,5557613,5213280,4788276
январь 2016 г.,,4623793,4006543,3541066,3287860,5575891,6192071,"5557160,99",4463449,2243123,3615338,1800161,1216382,"348884,99",48581,6116496,5653012,5282256,4804291
январь 2017 г.,,4658056,4169495,3617034,3271848,5289883,6208014,5646314,4694727,2222139,3587124,1902510,1190050,"388023,99",54101,6267287,5689293,5373288,4840782
январь 2018 г.,,4544133,4320203,3708397,3331456,5028414,6136536,5727737,4882988,2527927,3187914,2125468,1171082,420816,"60765,99",6365136,5789158,5412298,4953174
январь 2019 г.,,4387477,4420406,3820402,3395273,"4828522,99",5986657,5852980,5034322,2990299,2663232,2387279,1088708,"453965,99",71954,6332379,5929435,5483955,5047432
январь 2020 г.,,4166995,4527289,3927713,3499813,4719935,5769465,5873370,5127326,3585982,2192616,2616768,1045966,465844,88329,6276114,6051215,5529797,5166074
