Sex,Type,Age,Year,Amount
fem,incidence,age04,1993,0
fem,incidence,age04,1994,0
fem,incidence,age04,1995,0
fem,incidence,age04,1996,0
fem,incidence,age04,1997,0
fem,incidence,age04,1998,0
fem,incidence,age04,1999,0
fem,incidence,age04,2000,0
fem,incidence,age04,2001,0
fem,incidence,age04,2002,0
fem,incidence,age04,2003,0
fem,incidence,age04,2004,0
fem,incidence,age04,2005,0
fem,incidence,age04,2006,0
fem,incidence,age04,2007,0
fem,incidence,age04,2008,0
fem,incidence,age04,2009,0
fem,incidence,age04,2010,0
fem,incidence,age04,2011,0
fem,incidence,age04,2012,0
fem,incidence,age04,2013,0
fem,incidence,age59,1993,0
fem,incidence,age59,1994,0
fem,incidence,age59,1995,0
fem,incidence,age59,1996,0
fem,incidence,age59,1997,0
fem,incidence,age59,1998,0
fem,incidence,age59,1999,0
fem,incidence,age59,2000,0
fem,incidence,age59,2001,0
fem,incidence,age59,2002,0
fem,incidence,age59,2003,0
fem,incidence,age59,2004,0
fem,incidence,age59,2005,0
fem,incidence,age59,2006,0
fem,incidence,age59,2007,0
fem,incidence,age59,2008,0
fem,incidence,age59,2009,0
fem,incidence,age59,2010,0
fem,incidence,age59,2011,0
fem,incidence,age59,2012,0
fem,incidence,age59,2013,0
fem,incidence,age1014,1993,0
fem,incidence,age1014,1994,0
fem,incidence,age1014,1995,0
fem,incidence,age1014,1996,0
fem,incidence,age1014,1997,0
fem,incidence,age1014,1998,0
fem,incidence,age1014,1999,0
fem,incidence,age1014,2000,0
fem,incidence,age1014,2001,0
fem,incidence,age1014,2002,0
fem,incidence,age1014,2003,0
fem,incidence,age1014,2004,0
fem,incidence,age1014,2005,0
fem,incidence,age1014,2006,0
fem,incidence,age1014,2007,0
fem,incidence,age1014,2008,0
fem,incidence,age1014,2009,0
fem,incidence,age1014,2010,0
fem,incidence,age1014,2011,0
fem,incidence,age1014,2012,0
fem,incidence,age1014,2013,0
fem,incidence,age1519,1993,0
fem,incidence,age1519,1994,0
fem,incidence,age1519,1995,0
fem,incidence,age1519,1996,0
fem,incidence,age1519,1997,0
fem,incidence,age1519,1998,0
fem,incidence,age1519,1999,0
fem,incidence,age1519,2000,0
fem,incidence,age1519,2001,0
fem,incidence,age1519,2002,0
fem,incidence,age1519,2003,0
fem,incidence,age1519,2004,0
fem,incidence,age1519,2005,0
fem,incidence,age1519,2006,0
fem,incidence,age1519,2007,0
fem,incidence,age1519,2008,0
fem,incidence,age1519,2009,0
fem,incidence,age1519,2010,0
fem,incidence,age1519,2011,0
fem,incidence,age1519,2012,0
fem,incidence,age1519,2013,0
fem,incidence,age2024,1993,0
fem,incidence,age2024,1994,0
fem,incidence,age2024,1995,0
fem,incidence,age2024,1996,1
fem,incidence,age2024,1997,0
fem,incidence,age2024,1998,0
fem,incidence,age2024,1999,0
fem,incidence,age2024,2000,1
fem,incidence,age2024,2001,0
fem,incidence,age2024,2002,2
fem,incidence,age2024,2003,1
fem,incidence,age2024,2004,1
fem,incidence,age2024,2005,1
fem,incidence,age2024,2006,0
fem,incidence,age2024,2007,2
fem,incidence,age2024,2008,0
fem,incidence,age2024,2009,0
fem,incidence,age2024,2010,3
fem,incidence,age2024,2011,0
fem,incidence,age2024,2012,1
fem,incidence,age2024,2013,0
fem,incidence,age2529,1993,3
fem,incidence,age2529,1994,0
fem,incidence,age2529,1995,3
fem,incidence,age2529,1996,1
fem,incidence,age2529,1997,1
fem,incidence,age2529,1998,1
fem,incidence,age2529,1999,2
fem,incidence,age2529,2000,1
fem,incidence,age2529,2001,1
fem,incidence,age2529,2002,3
fem,incidence,age2529,2003,2
fem,incidence,age2529,2004,5
fem,incidence,age2529,2005,0
fem,incidence,age2529,2006,3
fem,incidence,age2529,2007,4
fem,incidence,age2529,2008,1
fem,incidence,age2529,2009,1
fem,incidence,age2529,2010,2
fem,incidence,age2529,2011,2
fem,incidence,age2529,2012,1
fem,incidence,age2529,2013,3
fem,incidence,age3034,1993,3
fem,incidence,age3034,1994,3
fem,incidence,age3034,1995,9
fem,incidence,age3034,1996,7
fem,incidence,age3034,1997,6
fem,incidence,age3034,1998,2
fem,incidence,age3034,1999,4
fem,incidence,age3034,2000,5
fem,incidence,age3034,2001,4
fem,incidence,age3034,2002,0
fem,incidence,age3034,2003,4
fem,incidence,age3034,2004,4
fem,incidence,age3034,2005,3
fem,incidence,age3034,2006,2
fem,incidence,age3034,2007,2
fem,incidence,age3034,2008,2
fem,incidence,age3034,2009,6
fem,incidence,age3034,2010,4
fem,incidence,age3034,2011,4
fem,incidence,age3034,2012,1
fem,incidence,age3034,2013,2
fem,incidence,age3539,1993,15
fem,incidence,age3539,1994,7
fem,incidence,age3539,1995,6
fem,incidence,age3539,1996,15
fem,incidence,age3539,1997,14
fem,incidence,age3539,1998,7
fem,incidence,age3539,1999,9
fem,incidence,age3539,2000,6
fem,incidence,age3539,2001,11
fem,incidence,age3539,2002,12
fem,incidence,age3539,2003,4
fem,incidence,age3539,2004,8
fem,incidence,age3539,2005,4
fem,incidence,age3539,2006,8
fem,incidence,age3539,2007,6
fem,incidence,age3539,2008,5
fem,incidence,age3539,2009,12
fem,incidence,age3539,2010,6
fem,incidence,age3539,2011,11
fem,incidence,age3539,2012,7
fem,incidence,age3539,2013,6
fem,incidence,age4044,1993,25
fem,incidence,age4044,1994,28
fem,incidence,age4044,1995,14
fem,incidence,age4044,1996,24
fem,incidence,age4044,1997,18
fem,incidence,age4044,1998,15
fem,incidence,age4044,1999,19
fem,incidence,age4044,2000,21
fem,incidence,age4044,2001,20
fem,incidence,age4044,2002,20
fem,incidence,age4044,2003,31
fem,incidence,age4044,2004,14
fem,incidence,age4044,2005,16
fem,incidence,age4044,2006,19
fem,incidence,age4044,2007,10
fem,incidence,age4044,2008,11
fem,incidence,age4044,2009,19
fem,incidence,age4044,2010,23
fem,incidence,age4044,2011,24
fem,incidence,age4044,2012,23
fem,incidence,age4044,2013,17
fem,incidence,age4549,1993,36
fem,incidence,age4549,1994,31
fem,incidence,age4549,1995,43
fem,incidence,age4549,1996,35
fem,incidence,age4549,1997,46
fem,incidence,age4549,1998,35
fem,incidence,age4549,1999,43
fem,incidence,age4549,2000,47
fem,incidence,age4549,2001,33
fem,incidence,age4549,2002,37
fem,incidence,age4549,2003,41
fem,incidence,age4549,2004,38
fem,incidence,age4549,2005,31
fem,incidence,age4549,2006,51
fem,incidence,age4549,2007,44
fem,incidence,age4549,2008,49
fem,incidence,age4549,2009,38
fem,incidence,age4549,2010,57
fem,incidence,age4549,2011,51
fem,incidence,age4549,2012,46
fem,incidence,age4549,2013,53
fem,incidence,age5054,1993,88
fem,incidence,age5054,1994,85
fem,incidence,age5054,1995,65
fem,incidence,age5054,1996,52
fem,incidence,age5054,1997,50
fem,incidence,age5054,1998,70
fem,incidence,age5054,1999,58
fem,incidence,age5054,2000,59
fem,incidence,age5054,2001,73
fem,incidence,age5054,2002,80
fem,incidence,age5054,2003,73
fem,incidence,age5054,2004,74
fem,incidence,age5054,2005,91
fem,incidence,age5054,2006,73
fem,incidence,age5054,2007,60
fem,incidence,age5054,2008,96
fem,incidence,age5054,2009,101
fem,incidence,age5054,2010,106
fem,incidence,age5054,2011,98
fem,incidence,age5054,2012,85
fem,incidence,age5054,2013,99
fem,incidence,age5559,1993,156
fem,incidence,age5559,1994,168
fem,incidence,age5559,1995,144
fem,incidence,age5559,1996,150
fem,incidence,age5559,1997,115
fem,incidence,age5559,1998,95
fem,incidence,age5559,1999,83
fem,incidence,age5559,2000,71
fem,incidence,age5559,2001,64
fem,incidence,age5559,2002,65
fem,incidence,age5559,2003,69
fem,incidence,age5559,2004,72
fem,incidence,age5559,2005,110
fem,incidence,age5559,2006,120
fem,incidence,age5559,2007,120
fem,incidence,age5559,2008,140
fem,incidence,age5559,2009,130
fem,incidence,age5559,2010,144
fem,incidence,age5559,2011,140
fem,incidence,age5559,2012,141
fem,incidence,age5559,2013,144
fem,incidence,age6064,1993,298
fem,incidence,age6064,1994,262
fem,incidence,age6064,1995,223
fem,incidence,age6064,1996,188
fem,incidence,age6064,1997,188
fem,incidence,age6064,1998,244
fem,incidence,age6064,1999,195
fem,incidence,age6064,2000,178
fem,incidence,age6064,2001,184
fem,incidence,age6064,2002,153
fem,incidence,age6064,2003,148
fem,incidence,age6064,2004,142
fem,incidence,age6064,2005,119
fem,incidence,age6064,2006,108
fem,incidence,age6064,2007,110
fem,incidence,age6064,2008,113
fem,incidence,age6064,2009,156
fem,incidence,age6064,2010,147
fem,incidence,age6064,2011,173
fem,incidence,age6064,2012,214
fem,incidence,age6064,2013,206
fem,incidence,age6569,1993,488
fem,incidence,age6569,1994,455
fem,incidence,age6569,1995,431
fem,incidence,age6569,1996,382
fem,incidence,age6569,1997,371
fem,incidence,age6569,1998,359
fem,incidence,age6569,1999,314
fem,incidence,age6569,2000,291
fem,incidence,age6569,2001,258
fem,incidence,age6569,2002,220
fem,incidence,age6569,2003,259
fem,incidence,age6569,2004,254
fem,incidence,age6569,2005,246
fem,incidence,age6569,2006,262
fem,incidence,age6569,2007,241
fem,incidence,age6569,2008,193
fem,incidence,age6569,2009,152
fem,incidence,age6569,2010,150
fem,incidence,age6569,2011,129
fem,incidence,age6569,2012,126
fem,incidence,age6569,2013,145
fem,incidence,age7074,1993,395
fem,incidence,age7074,1994,441
fem,incidence,age7074,1995,426
fem,incidence,age7074,1996,458
fem,incidence,age7074,1997,437
fem,incidence,age7074,1998,454
fem,incidence,age7074,1999,471
fem,incidence,age7074,2000,450
fem,incidence,age7074,2001,473
fem,incidence,age7074,2002,419
fem,incidence,age7074,2003,375
fem,incidence,age7074,2004,320
fem,incidence,age7074,2005,308
fem,incidence,age7074,2006,300
fem,incidence,age7074,2007,255
fem,incidence,age7074,2008,275
fem,incidence,age7074,2009,282
fem,incidence,age7074,2010,298
fem,incidence,age7074,2011,236
fem,incidence,age7074,2012,265
fem,incidence,age7074,2013,197
fem,incidence,age7579,1993,452
fem,incidence,age7579,1994,392
fem,incidence,age7579,1995,332
fem,incidence,age7579,1996,309
fem,incidence,age7579,1997,333
fem,incidence,age7579,1998,296
fem,incidence,age7579,1999,377
fem,incidence,age7579,2000,355
fem,incidence,age7579,2001,383
fem,incidence,age7579,2002,420
fem,incidence,age7579,2003,413
fem,incidence,age7579,2004,426
fem,incidence,age7579,2005,412
fem,incidence,age7579,2006,368
fem,incidence,age7579,2007,367
fem,incidence,age7579,2008,306
fem,incidence,age7579,2009,295
fem,incidence,age7579,2010,285
fem,incidence,age7579,2011,307
fem,incidence,age7579,2012,275
fem,incidence,age7579,2013,276
fem,incidence,age8084,1993,353
fem,incidence,age8084,1994,396
fem,incidence,age8084,1995,306
fem,incidence,age8084,1996,314
fem,incidence,age8084,1997,271
fem,incidence,age8084,1998,236
fem,incidence,age8084,1999,200
fem,incidence,age8084,2000,191
fem,incidence,age8084,2001,182
fem,incidence,age8084,2002,177
fem,incidence,age8084,2003,201
fem,incidence,age8084,2004,225
fem,incidence,age8084,2005,238
fem,incidence,age8084,2006,230
fem,incidence,age8084,2007,257
fem,incidence,age8084,2008,266
fem,incidence,age8084,2009,262
fem,incidence,age8084,2010,310
fem,incidence,age8084,2011,253
fem,incidence,age8084,2012,257
fem,incidence,age8084,2013,244
fem,incidence,age85,1993,190
fem,incidence,age85,1994,159
fem,incidence,age85,1995,188
fem,incidence,age85,1996,144
fem,incidence,age85,1997,156
fem,incidence,age85,1998,168
fem,incidence,age85,1999,189
fem,incidence,age85,2000,186
fem,incidence,age85,2001,159
fem,incidence,age85,2002,142
fem,incidence,age85,2003,153
fem,incidence,age85,2004,120
fem,incidence,age85,2005,117
fem,incidence,age85,2006,116
fem,incidence,age85,2007,125
fem,incidence,age85,2008,99
fem,incidence,age85,2009,135
fem,incidence,age85,2010,167
fem,incidence,age85,2011,146
fem,incidence,age85,2012,151
fem,incidence,age85,2013,156
