Year,Sex,Population,Mortality,Incidence
1993,fem,78617823,2372,2502
1994,fem,78488219,2309,2427
1995,fem,78386176,2141,2190
1996,fem,78214116,1933,2080
1997,fem,78011982,1937,2006
1998,fem,77816439,1890,1982
1999,fem,77537641,1866,1964
2000,fem,77198821,1720,1862
2001,fem,76513290,1783,1845
2002,fem,76143024,1633,1750
2003,fem,76732550,1613,1774
2004,fem,76422522,1627,1703
2005,fem,76134789,1522,1696
2006,fem,76481000,1476,1660
2007,fem,76331876,1428,1603
2008,fem,76277060,1355,1556
2009,fem,76268739,1459,1589
2010,fem,76275129,1388,1702
2011,fem,76847635,1498,1574
2012,fem,76666071,1400,1593
2013,fem,77056793,1320,1548
